"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"142757","10","DAVITA - SILVERBRIDGE HOME TRAINING","2410 ALFT LANE, STE 101","","ELGIN","IL","60124","KANE","(847) 289-5628","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142758","10","SAH DIALYSIS CLINIC @26TH ST","3059 W 26TH ST","","CHICAGO","IL","60623","COOK","(773) 696-9470","Non-Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142759","10","IROQUOIS KIDNEY CENTER","209 S FIFTH ST","","WATSEKA","IL","60970","IROQUOIS","(815) 432-4300","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142760","10","HOME DIALYSIS SERVICES ELGIN LLC","442 N IL RTE 31","","CRYSTAL LAKE","IL","60012","MCHENRY","(224) 238-3211","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142761","10","HOME DIALYSIS SEVICES HICKORY HILLS LLC","7831 W 95TH ST STE CNE","","HICKORY HILLS","IL","60457","COOK","(630) 965-9007","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142762","10","DAVITA - MOLINE HOME TRAINING","4650 38TH AVE","","MOLINE","IL","61265","ROCK ISLAND","(309) 736-4260","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142763","10","DAVITA - TIMBER CREEK","1001 S ANNIE GLIDDEN ROAD","","DEKALB","IL","60115","DEKALB","(815) 748-3124","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142764","10","FMC - OAK FOREST","5340A W 159TH STREET","","OAK FOREST","IL","60452","COOK","(708) 535-0080","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","15","19","66","82","4","14","25","61","82","4","28","72","72","2","15","19","66","88","4","9","33","58","83","3","10","20","70","88","3","32","3"
"142765","10","FMC - NAPERBROOK","2451 SOUTH WASHINGTON","","NAPERVILLE","IL","60565","DU PAGE","(630) 428-9769","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","15","12","73","84","4","15","27","58","80","3","24","76","76","3","4","36","60","87","4","9","27","64","88","4","5","25","70","90","4","41","4"
"142766","10","FMC - LOGAN SQUARE","2721 N SPAULDING","","CHICAGO","IL","60647","COOK","(773) 292-2971","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","19","7","74","83","4","11","13","76","88","5","15","85","85","4","4","21","75","91","4","6","19","75","91","4","1","9","90","95","5","32","4"
"142767","10","DAVITA - TAZEWELL COUNTY DIALYSIS","1021 COURT STREET","STE. A","PEKIN","IL","61554","TAZEWELL","(309) 478-1000","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142768","10","DAVITA - LAWNDALE DIALYSIS","3934 WEST 24TH ST","","CHICAGO","IL","60623","COOK","(773) 277-0598","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","11","10","79","89","5","15","15","70","84","4","15","85","85","4","9","16","75","89","4","8","15","77","90","4","10","12","78","91","4","47","4"
"142769","10","HOME DIALYSIS SERVICES OLYMPIA FIELDS LLC","3214 VOLLMER RD","","OLYMPIA FIELDS","IL","60461","COOK","(708) 898-0564","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142770","10","NORTHWESTERN MEDICAL FACILITY FOUNDATION DIALYSIS CENTER","201 E HURON","GALTER BUILDING - SUITE 12-240","CHICAGO","IL","60611","COOK","(312) 472-5200","Profit","Yes","US RENAL CARE, INC.","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142771","10","FMC - NORTHFIELD","480 CENTRAL AVENUE","","WINNETKA","IL","60093","COOK","(847) 441-4031","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142772","10","DAVITA - RED BUD DIALYSIS","1500 E MARKET ST LOT 4","","RED BUD","IL","62278","RANDOLPH","(618) 282-3444","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142773","10","AFFILIATED DIALYSIS OF JOLIET","1352 HOUBOLT RD","","JOLIET","IL","60431","WILL","(815) 630-5530","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142774","10","FMC - DES PLAINES","1625 OAKTON PL","","DES PLAINES","IL","60018","COOK","(847) 795-0014","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142775","10","DAVITA - FLOSSMOOR HOME","19720 S GOVERNORS HWY","","FLOSSMOOR","IL","60422","COOK","(708) 799-7239","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142776","10","JOLIET DIALYSIS HOLDINGS","368 SOUTH WEBER","","ROMEOVILLE","IL","60446","WILL","(815) 254-0283","Profit","Yes","JOLIET HOLDINGS, LLC","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142777","10","DAVITA - GARFIELD KIDNEY CENTER","3250 W FRANKLIN BLVD","","CHICAGO","IL","60624","COOK","(773) 638-1160","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","12","10","78","87","4","11","15","74","86","5","20","80","80","4","12","20","68","87","4","8","16","76","90","4","9","12","79","91","4","69","4"
"142778","10","FMC - NORMAL DIALYSIS","1531 E COLLEGE AVENUE","","NORMAL","IL","61761","MCLEAN","(309) 451-1171","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"142779","10","NX STAGE KIDNEY CARE","1600 W 16TH ST  STE 13","","OAK BROOK","IL","60523","DU PAGE","(630) 475-4340","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
