"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS date2","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"112784","06","NORTH HENRY DIALYSIS","5627 N HENRY BLVD SUITE I-1","","STOCKBRIDGE","GA","30281","HENRY","(770) 506-9277","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","14","21","65","22","24","54","27","73","8","42","50","14","35","51","22","40","38"
"112785","06","FRESENIUS MEDICAL CARE SOUTH DEKALB/ROCKDALE","6085 HILLANDALE DRIVE","","LITHONIA","GA","30058","DEKALB","(770) 981-8077","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","32","21","47","38","23","39","26","74","29","31","40","40","22","38","34","27","39"
"112786","06","FRESENIUS MEDICAL CARE RIVER CITY","2443 BROOKSTONE CENTER PARKWAY","SUITE B","COLUMBUS","GA","31904","MUSCOGEE","(706) 327-6350","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112788","06","UNION CITY DIALYSIS","6851 SHANNON PARKWAY SUITE 200","","UNION CITY","GA","30291","FULTON","(770) 774-9033","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","21","63","16","27","57","14","86","24","19","57","10","35","55","12","24","64"
"112789","06","ATHENS EAST DIALYSIS","2026 S MILLEDGE AVE, STREET A2","","ATHENS","GA","30605","CLARKE","(706) 549-3297","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112790","06","SOUTHSTAR ADAMSVILLE DIALYSIS","3651 BAKERS FERRY RD SW","","ATLANTA","GA","30331","FULTON","(404) 472-1856","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","26","12","62","29","21","50","21","79","12","25","63","22","28","50","12","20","68"
"112791","06","NRA - VALDOSTA (NORTH) GEORGIA","4358 KINGS WAY","","VALDOSTA","GA","31602","LOWNDES","(229) 244-6923","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112792","06","HARBIN CLINIC CEDARTOWN DIALYSIS","14 CHEROKEE RD","","CEDARTOWN","GA","30125","POLK","(770) 748-2567","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","30","16","54","11","19","70","25","75","25","17","58","11","17","72","12","14","74"
"112793","06","FRESENIUS MEDICAL CARE EVANS","696 INDUSTRIAL PARK DR","","EVANS","GA","30809","COLUMBIA","(706) 868-0011","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112794","06","TIFTON DIALYSIS","624 LOVE AVE","","TIFTON","GA","31794","TIFT","(229) 382-1497","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112795","06","HARBIN CLINIC SUMMERVILLE DIALYSIS CENTER","12541 HIGHWAY 27","","SUMMERVILLE","GA","30747","CHATTOOGA","(706) 857-4050","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","15","64","19","13","68","25","75","12","25","63","10","25","65","11","14","75"
"112796","06","CORDELE DIALYSIS","1013 EAST 16TH AVE","","CORDELE","GA","31015","CRISP","(229) 273-0163","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","26","17","57","19","19","62","24","76","27","24","49","19","19","62","19","15","66"
"112797","06","FRESENIUS MEDICAL CARE DIALYSIS OF GOLDEN ISLES","475 GATEWAY CENTER BLVD","","BRUNSWICK","GA","31525","GLYNN","(912) 265-0533","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","13","71","23","25","52","26","74","12","18","70","12","43","45","14","31","55"
"112798","06","LAGRANGE DIALYSIS CLINIC","140 OLD MILL ROAD","","LAGRANGE","GA","30241","TROUP","(706) 884-6825","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","21","10","69","14","16","70","17","83","12","26","62","11","30","59","6","27","67"
"112799","06","SOUTH HENRY DIALYSIS CENTER","1095 HENRY PARKWAY CONNECTOR","","MCDONOUGH","GA","30252","HENRY","(678) 688-3507","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112800","06","FRESENIUS MEDICAL CARE HABERSHAM","735 N HISTORIC HWY 441","","DEMOREST","GA","30535","HABERSHAM","(706) 839-1761","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112801","06","DIALYSIS CLINIC INC CLARK HOME TRAINING CENTER","1210 N JEFFERSON STREET","","ALBANY","GA","31701","DOUGHERTY","(229) 888-3996","Profit","Yes","DIALYSIS CLINIC, INC.","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112802","06","FRESENIUS MEDICAL CARE RINCON","604 TOWNE PARK WEST","","RINCON","GA","31326","EFFINGHAM","(912) 826-2822","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112803","06","KIDNEY DIALYSIS CENTER LLC","640 MARTIN LUTHER KING JR BLVD","","MACON","GA","31201","BIBB","(478) 742-5850","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","14","77","10","20","70","10","90","6","13","81","4","16","80","2","12","86"
"112804","06","NEPHRON CORPORATION","710 BREEDLOVE DR","","MONROE","GA","30655","WALTON","(678) 635-7211","Non-Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112806","06","DAVITA SNELLVILLE DIALYSIS","2135 MAIN STREET EAST","SUITE 130","SNELLVILLE","GA","30078","GWINNETT","(770) 979-3117","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","11","80","10","24","66","18","82","7","10","83","6","25","69","6","30","64"
"112807","06","ARBOR PLACE DIALYSIS","9559 HIGHWAY 5 STE #1","","DOUGLASVILLE","GA","30135","DOUGLAS","(678) 391-0949","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112809","06","NEPHRON CORPORATION","3770 HOWELL FERRY ROAD","","DULUTH","GA","30096","GWINNETT","(678) 495-0420","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112810","06","KENNESTONE DIALYSIS","200 COBB PKWY N","BUILDING 300 STE 318","MARIETTA","GA","30062","COBB","(678) 797-1110","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112811","06","POOLER DIALYSIS","54 TRADERS WAY","","POOLER","GA","31322","CHATHAM","(912) 748-1018","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112812","06","FMC CLAYTON DIALYSIS","108 PLAZA WAY","","CLAYTON","GA","30525","RABUN","(706) 782-0207","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112813","06","SHAMROCK DIALYSIS","1016 CLAXTON DAIRY ROAD STE 1A","","DUBLIN","GA","31021","LAURENS","(478) 275-4200","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112814","06","MADISON KIDNEY CENTER","1311 ATLANTA HIGHWAY SUITE A","","MADISON","GA","30650","MORGAN","(706) 752-1113","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112815","06","PEACHTREE CITY DIALYSIS","2830 W HWY 54","2830 W HWY 54","PEACHTREE CITY","GA","30269","FAYETTE","(678) 364-9165","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112816","06","TUCKER DIALYSIS","4434 HUGH HOWELL RD","","TUCKER","GA","30084","DEKALB","(770) 491-7187","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112817","06","SATILLA RIVER DIALYSIS","308 CARSWELL AVE","","WAYCROSS","GA","31501","WARE","(912) 285-1663","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112818","06","COMMERCE KIDNEY CENTER","592 RIDGE WAY RD STE A.","","COMMERCE","GA","30529","JACKSON","(706) 335-6665","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112819","06","FMC CROSSROADS","1719 MAGNOLIA WAY","","AUGUSTA","GA","30919","COLUMBIA","(706) 228-7253","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112820","06","HOME DIALYSIS OF NORTH ATLANTA, INC","980 JOHNSON FERRY RD","SUITE 410 A","ATLANTA","GA","30342","FULTON","(404) 835-5081","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","102","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112821","06","CLASSIC CITY DIALYSIS","2485 JEFFERSON ROAD","","ATHENS","GA","30607","JACKSON","(706) 850-7400","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","10","16","74","8","17","75","13","87","4","10","86","1","23","76","1","14","85"
"112822","06","HAPEVILLE DIALYSIS CENTER","800 VIRGINIA AVE","STE 100","HAPEVILLE","GA","30354","FULTON","(404) 762-9333","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112823","06","EMORY DIALYSIS LLC","2841 GREENBRIAR PKWY SW","SUITE X126","ATLANTA","GA","30331","FULTON","(404) 778-1001","Non-Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","17","15","68","26","25","49","28","72","18","22","60","25","30","45","19","31","50"
"112824","06","EMORY DIALYSIS LLC","610 NORTHSIDE DRIVE NW","","ATLANTA","GA","30318","FULTON","(404) 778-1050","Non-Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","11","73","19","20","61","22","78","16","17","67","17","23","60","15","21","64"
"112825","06","DAVITA AUSTELL","3642 MARATHON CIRCLE","","AUSTELL","GA","30106","COBB","(770) 439-4170","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"112826","06","EMORY DIALYSIS LLC","2726 CANDLER ROAD","","DECATUR","GA","30034","DEKALB","(404) 778-1025","Non-Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","11","17","72","22","23","55","22","78","9","29","62","20","31","49","13","32","55"
"112827","06","NEPHRON CORPORATION","2290 OAK ROAD","","SNELLVILLE","GA","30078","GWINNETT","(678) 879-1231","Profit","No","INDEPENDENT","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
